Ticker,CompanyName,Sector,Industry,Price,PER,ForwardPE,PBR,ROE,MarketCap_B_USD,Sector_Avg_PER
4151,KYOWA KIRIN CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,2546.5,16.389908,18.354475,1.4552792,0.092530005,1333.05925632,21.22
4502,TAKEDA PHARMACEUTICAL CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,5540.0,,39.461502,1.158372,-0.02262,8846.003142656,21.22
4503,ASTELLAS PHARMA,Healthcare,Drug Manufacturers - General,2327.0,14.34737,30.711365,2.1477191,0.21301001,4168.802369536,21.22
4506,SUMITOMO PHARMA CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,1295.0,4.813769,75.598366,1.4219097,0.38529,580.92847104,21.22
4507,SHIONOGI & CO,Healthcare,Drug Manufacturers - Specialty & Generic,2810.0,11.658783,14.696653,1.3492743,0.16773,2391.806836736,21.22
4519,CHUGAI PHARMACEUTICAL CO,Healthcare,Drug Manufacturers - General,6857.0,23.96547,29.06617,5.563963,0.23493,11283.723190272,21.22
4523,EISAI CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,4778.0,34.881004,23.586906,1.4856877,0.049629997,1348.523655168,21.22
4568,DAIICHI SANKYO COMPANY LIMITED,Healthcare,Drug Manufacturers - General,2752.0,19.594162,19.169685,2.9421828,0.14812,5007.685976064,21.22
4578,OTSUKA HLDGS CO LTD,Healthcare,Drug Manufacturers - General,12705.0,16.544477,24.471281,2.0604079,0.13420999,6675.123142656,21.22
285A,KIOXIA HOLDINGS CORPORATION,Technology,Semiconductors,47730.0,47.308014,,10.879059,0.87108004,26119.883456512,42.69
4062,IBIDEN CO LTD,Technology,Electronic Components,19110.0,88.96234,61.85267,9.371157,0.12655,5340.641886208,42.69
6479,MINEBEA MITSUMI INC,Technology,Electronic Components,3694.0,14.970012,17.198195,1.6502129,,1483.49386752,42.69
6501,HITACHI,Industrials,Conglomerates,5620.0,31.832342,31.549992,3.8343637,,25155.910762496,27.85
6503,MITSUBISHI ELECTRIC CORP,Industrials,Electrical Equipment & Parts,5826.0,29.41236,35.279156,2.608552,0.10283,11922.535612416,27.85
6504,FUJI ELECTRIC CO. LTD.,Industrials,Electrical Equipment & Parts,14630.0,21.977858,24.085478,2.700844,0.14274,2135.854546944,27.85
6506,YASKAWA ELECTRIC CORP,Industrials,Electrical Equipment & Parts,5266.0,38.76049,25.701595,2.8158154,0.07511,1365.831581696,27.85
6526,SOCIONEXT INC,Industrials,Electrical Equipment & Parts,1981.0,39.995964,13.864781,2.7036545,0.059959996,347.247771648,27.85
6645,OMRON CORP,Technology,Electronic Components,6632.0,38.167587,24.466005,1.5672481,0.05131,1304.046075904,42.69
6701,NEC CORP,Technology,Information Technology Services,4862.0,23.941303,6.7625456,2.8865151,0.1416,6448.68472832,42.69
6702,FUJITSU,Technology,Information Technology Services,3675.0,21.040878,24.225445,3.1323247,0.16202,6361.523421184,42.69
6723,RENESAS ELECTRONICS CORP,Technology,Semiconductors,3757.0,20.160986,13.523559,2.409379,0.13953,6865.877467136,42.69
6724,SEIKO EPSON CORP,Technology,Computer Hardware,3175.0,55.868378,15.720934,1.17575,0.0297,1017.358057472,42.69
6752,PANASONIC HOLDINGS CORP,Technology,Consumer Electronics,4312.0,53.188602,25.537458,1.8623728,0.0525,10068.197113856,42.69
6753,SHARP CORP,Technology,Consumer Electronics,642.9,8.797209,11.815844,1.4810737,0.20856,417.439285248,42.69
6758,SONY GROUP CORPORATION,Technology,Consumer Electronics,3721.0,19.960304,20.311136,2.6109166,0.13159999,21851.430453248,42.69
6762,TDK CORP,Technology,Electronic Components,2988.0,28.998447,27.956587,2.467083,0.1163,5671.68466944,42.69
6770,ALPS ALPINE CO LTD,Technology,Electronic Components,2089.5,15.504191,19.526213,0.9167518,0.06243,407.79726848,42.69
6841,YOKOGAWA ELECTRIC CORP,Industrials,Specialty Industrial Machinery,5414.0,23.752907,25.055534,2.6509912,,1356.571738112,27.85
6857,ADVANTEST CORP,Technology,Semiconductor Equipment & Materials,32190.0,62.11168,135.40572,22.351372,0.56895,23308.590383104,42.69
6861,KEYENCE CORP,Technology,Scientific & Technical Instruments,85110.0,46.296196,45.57698,5.816518,,20641.315028992,42.69
6902,DENSO CORP,Consumer Cyclical,Auto Parts,1929.5,7.479552,10.006742,0.9461056,0.09198,4837.329076224,23.67
6920,LASERTEC CORP,Technology,Semiconductor Equipment & Materials,37460.0,38.75961,34.298687,14.890215,0.33929002,3357.564993536,42.69
6954,FANUC CORPORATION,Industrials,Specialty Industrial Machinery,6535.0,36.55944,37.750565,3.2700343,0.10049,6098.187190272,27.85
6963,ROHM CO LTD,Technology,Semiconductors,4571.0,,52.606743,2.3280344,,1764.566368256,42.69
6971,KYOCERA CORP,Industrials,Conglomerates,3792.0,36.94466,42.368713,1.495799,0.05059,4880.517824512,27.85
